layer,component,z_start
0,Spring,-0.581
1,Spring,-0.32699999999999996
2,Crank,-0.22699999999999998
2,Input,-0.22699999999999998
2,Spring,-0.22699999999999998
3,Crank,-0.09999999999999998
3,Input,-0.09999999999999998
4,Ground,0.0
4,Output,0.0
4,Crank,0.0
4,Coupler,0.0
4,CouplerTab,0.0
4,Input,0.0
4,InputTab,0.0
5,Ground,0.381
5,Output,0.381
5,Crank,0.381
5,Coupler,0.381
5,CouplerTab,0.381
5,Input,0.381
5,InputTab,0.381
6,Ground,0.4810000000000001
6,Output,0.4810000000000001
6,Crank,0.4810000000000001
6,Coupler,0.4810000000000001
6,CouplerTab,0.4810000000000001
6,Input,0.4810000000000001
6,InputTab,0.4810000000000001
7,Ground,0.6080000000000001
7,Output,0.6080000000000001
7,Crank,0.6080000000000001
7,Coupler,0.6080000000000001
7,CouplerTab,0.6080000000000001
7,Input,0.6080000000000001
7,InputTab,0.6080000000000001
8,Ground,0.7080000000000002
8,Output,0.7080000000000002
8,Crank,0.7080000000000002
8,Coupler,0.7080000000000002
8,CouplerTab,0.7080000000000002
8,Input,0.7080000000000002
8,InputTab,0.7080000000000002
